key,city,country,latitude,longitude,comment,annotation
villambroz,Villambroz,España,42.41112132933501,-4.823790494190271,,Pueblo del que origina esta familia
valladolid,Valladolid,España,41.65663752134355,-4.728312841704544,,Ciudad cercana a Villambroz.
pensier,Pensier,Suiza,46.86555638991404,7.126607619202089,,Lugar donde fue Argmiro a estudiar.
palencia,Palencia,España,42.007740489203705,-4.528012460080141,,Ciudad cercana a Villambroz.
mungia,Mungia,España,43.3546513924835,-2.8466412881588186,,Ciudad a la que emigraron Resti y Orencio.
francia,Francia,Francia,46.660578331534836,2.672445785993602,,País al que enviaron a Indalencio con el ejército.
burgos,Burgos,España,42.353456721570595,-3.6884488208120993,,Ciudad medieval.
sanmartin,San Martín,España,42.436589658889446,-4.784849382715614,,San Martín del Valle queda cerca de Villamabroz.
ventadebaños,Venta de Baños,España,41.920698361067515,-4.48897451880891,,Pueblo de Palencia
catedralpalencia,Palencia,España,42.011446323320676,-4.537401577109175,,"La Catedral de San Antolín de Palencia es un templo de culto católico, sede episcopal de la diócesis de Palencia y dedicada a san Antolín mártir, patrono de la ciudad. Edificio de estilo gótico, aunque conserva elementos de las épocas visigoda y románica así como elementos renacentistas, barrocos y neoclásicos. "
sanmarcial,Burgos,España,42.35025170147645,-3.6771750760259834,,"Cuartel militar en Burgos, España"
cubillo,Cubillo,España,41.11995857713733,-3.9069561562207515,,Localidad en la provincia de Segovia.
